,Tweet Body ,Sentiment ,processed_content
216, Having a problem finding any kind of grants in tennessee at all. I believe that our Governor has given all of the money to non profit agencies with 501c3 status.  Please have one of the volunteers to contact me about Tennessee Grants for Food and Rent. So So Sad.,Negative,having problem finding any kind grants tennessee believe that our governor has given all the money non profit agencies with 501c3 please have one the volunteers contact about tennessee grants for food and
217,ANOREXIA IN GERMAN TRANSLATES TO SKINNY ADDICTION AAAAAAAHDJSJA,Neutral,anorexia german translates skinny addiction aaaaaaahdjsja
218,"Problem with Indian cooking competitions: more often than not what the tongue and nose perceives, can't be shown to / experienced by viewers on TV.. Maybe an idea for TV makers make TVs that will give the exact mix of flavours created in a cooking show",Positive,problem with indian cooking more often than not what the tongue and nose shown experienced viewers maybe idea for makers make tvs that will give the exact mix flavours created cooking show
219,having an eating disorder and also debilitating health anxiety is a nuclear combination,Neutral,having eating disorder and also debilitating health anxiety nuclear combination
220,“you don’t have an eating disorder I’ve seen you eat before”,Negative,have eating disorder seen you eat
221,sometimes i wonder how my life could’ve looked like if i never developed an eating disorder??,Negative,sometimes wonder how life looked like never developed eating
222,"twitter is a collective mess of phone addiction, porn addiction, nicotine addiction, eating disorder, parasocial relationships, coffee addiction, gay…",Negative,twitter collective mess phone porn nicotine eating parasocial coffee
223,mental  health  matters!!  until  it's  someone  suffering  from  an  eating  disorder,Negative,mental health until someone suffering from eating disorder
224,Hell hath no fury like the eating disorder therapists calling out toxic diet culture in every corner of the Internet universe.,Positive,hell hath fury like the eating disorder therapists calling out toxic diet culture every corner the internet
225,I need to block everyone and focus on my eating disorder,Negative,need block everyone and focus eating disorder
226,looking at old pictures of myself like damn. thank god i developed an eating disorder,Negative,looking old pictures myself like thank god developed eating disorder
227,ik i’m not getting cancelled on eating disorder twitter rn…,Negative,not getting cancelled eating disorder twitter
228,“i meant it in a good way” THERES NO SUCH THING AS TELLING SOMEONE WITH AN EATING DISORDER THEY LOOK HEALTHY IN A GOOD WAY,Negative,meant good theres such thing telling someone with eating disorder they look healthy good way
229,The only thing that should be terminal about an eating disorder is when it ends with recovery.,Positive,the only thing that should terminal about eating disorder when ends with
230,"I’ve been thinking about it lately and I think social media is bad for me right now. I’m relapsing in my eating disorder , I’m still getting hate message about me being black and “ugly” and it’s just not helping my perception of myself 1/?",Negative,been thinking about lately and think social media bad for right relapsing eating disorder still getting hate message about being black and and just not helping perception myself
231,why is it so common to shit on people with eating disorders like the replies make me sick,Negative,why common shit people with eating disorders like the replies make sick
232,gays when men don’t have an eating disorder and don’t take steroids and don’t work out for 7 hours a day,Neutral,gays when men have eating disorder and take steroids and work out for hours day
233,My eating disorder is actually an identity disorder at this point,Negative,eating disorder actually identity disorder this point
234,Wdym eating disorder I’m a boy…??,Neutral,wdym eating disorder
235,why is my eating disorder all i think about,Negative,why eating disorder all think about
236,"eating disorder? no. gender affirming financial strategy. (pay less money for food, losing my titties)",Neutral,eating gender affirming financial less money for losing
237,"people really think that all eating disorders are ""starve yourself 24/7"" an eating disorder could mean you eat too much and cant stop yourself",Neutral,people really think that all eating disorders are yourself eating disorder could mean you eat too much and cant stop yourself
238,"Getting a salad for lunch
Pros:I am healthy,Eating disorder Appeased, Light so won’t hurt my stomach,Delicious 
Cons:Makes me feel gay,Is kinda gay",Negative,getting salad for lunch disorder light hurt feel kinda gay
239,U when people on EATING DISORDER TWITTER vent about their EATING DISORDER bcs they are idk DISORDERED,Negative,when people eating disorder twitter vent about their eating disorder bcs they are idk disordered
240,i will never understand how people on *eating disorder* twitter have this insatiable need to make fun of people with the same disorder as them just because they dont react to their stressors in the same way,Negative,will never understand how people twitter have this insatiable need make fun people with the same disorder them just because they dont react their stressors the same way
241,why do people think it’s okay to call extremely underweight anorexics obese you are a disgusting piece of human garbage for saying that (to anyone) but especially someone who’s so deeply suffering from a restrictive eating disorder???,Negative,why people think okay call extremely underweight anorexics obese you are disgusting piece human garbage for saying that but especially someone deeply suffering from restrictive eating
242,I be forgetting I’m on eating disorder twitter,Negative,forgetting eating disorder twitter
243,"eating disorders hold you into this tiny world of food, numbers, and pain. You dont get to live fully no matter what disorder you have. you find some sort of comfort in whatever behavior youre engaging in and it distracts you from real life. theres a huge world beyond your ed but",Negative,eating disorders hold you into this tiny world and you dont get live fully matter what disorder you you find some sort comfort whatever behavior youre engaging and distracts you from real theres huge world beyond your but
244,A fan of Tayble wanting to talk about other people's bodies (and this is pure eating disorder,Negative,fan tayble wanting talk about other bodies this pure eating disorder
245,its all mental health matters until its eating disorders,Negative,its all mental health matters until its eating disorders
246,"eating disorders aren’t *always* Internalized fat phobia, they can be filling a hole, control, a result of depression anxiety whatever, medically induced, fear induced, forced on the person etc",Neutral,eating disorders internalized fat they can filling result depression anxiety medically fear forced the person etc
247,eating disorders truly rot you from the inside out,Negative,eating disorders truly rot you from the inside out
248,“eating disorders”,Neutral,
249,"Boomer moms made genx/millennial daughters hate their bodies and have eating disorders.
Genx/millennial moms make their kids hate their gender.",Negative,boomer moms made daughters hate their bodies and have eating moms make their kids hate their
250,swifties stop talking about eating disorders challenge level: impossible,Neutral,swifties stop talking about eating disorders challenge impossible
251,hii friendly reminder that your eating disorders affect other people's life,Negative,hii friendly reminder that your eating disorders affect other life
252,"girls back then consistently had severe eating disorders, regularly burnt off their scalps and hair getting perms & relaxers, and STILL had to pass the paper bag test but ok 😭",Neutral,girls back then consistently had severe eating regularly burnt off their scalps and hair getting perms and still had pass the paper bag test but
253,Love is love #eatingdisorders,Positive,love love
254,i am not dating a gym bro like babe both of us can’t have eating disorders,Negative,not dating gym bro like babe both have eating disorders
255,do we fetishize eating disorders ??,Neutral,fetishize eating disorders
256,I'm starting to think some of you might have eating disorders uhm...,Neutral,starting think some you might have eating disorders
257,I’m a size 10… these are a 2xl… is there any wonder so many young girls have eating disorders ,Negative,size these are there any wonder many young girls have eating disorders
258,"omg people so annoying here, yes you can have ed and be overweight in the same way you can be super skinny and be totally fine, eating disorders are mental illnesses, MENTAL, not physical diseases",Neutral,omg people annoying yes you can have and overweight the same way you can super skinny and totally eating disorders are mental not physical diseases
259,"Am I the Asshole thread pt. 5
eating disorders, binge eating, food waste 
w/ polls",Neutral,the asshole thread eating binge food waste polls
260,unpopular opinion in this time people actually do fake mental illnesses and eating disorders bc so many ppl on social media make it a cool and its often (scarily) seen as boring to not have mental issues and teenagers naturally will do crazy shit to fit in,Negative,unpopular opinion this time people actually fake mental illnesses and eating disorders many ppl social media make cool and its often seen boring not have mental issues and teenagers naturally will crazy shit fit
261,gym bros are just sad little men with eating disorders on the inside,Negative,gym bros are just sad little men with eating disorders the inside
262,who wants to be a character in my nursing class comic about eating disorders,Neutral,who wants character nursing class comic about eating disorders
263,Qts making fun of eating disorders like it’s not a life/mind altering mental illness woah,Negative,qts making fun eating disorders like not altering mental illness woah
264,The link between Veganism and Anorexia Nervosa. #EatingDisorders #MentalHealth,Neutral,the link between veganism and anorexia
265,my mom was staying w my aunt at the hospital and bonded with a bulimic girl’s mom over both of their kids having eating disorders and all i could think was “was she skinnier than me”,Neutral,mom was staying aunt the hospital and bonded with bulimic mom over both their kids having eating disorders and all could think was she skinnier than
266,nobody on twitter knows how to deal with people who are struggling with eating disorders & its annoyingggg,Negative,nobody twitter knows how deal with people who are struggling with eating disorders its annoyingggg
267,My weight gain since moving here is ,Negative,weight gain since moving here
268,me when i binge and actually gain weight,Negative,when binge and actually gain weight
269,If you don’t start losing weight now you’ll always be the same mediocre girl you’ve always been,Negative,you start losing weight now always the same mediocre girl always been
270,"i gained weight recently! i consume calorie booster these day. sangyeop & the kids recommended it to me since i lost so much weight. sangyeop ended up rushing me to buy it, so i ordered it right away. 1 booster = 1200cal. consume 2 of it equals 1 meal",Negative,gained weight consume calorie booster these sangyeop the kids recommended since lost much sangyeop ended rushing buy ordered right booster consume equals meal
271,Beauty doesn't have a weight limit ,Positive,beauty have weight limit
272,1 month without working out Gained weight ,Neutral,month without working out gained weight
273,Seeing my weight drop = being happy,Positive,seeing weight drop being happy
274,weight a second??? ,Neutral,weight
275,New weight loss,Neutral,new weight loss
276,I swear 75% of my weight is just thighs,Neutral,swear weight just thighs
277,finger weight loss is no joke ,Neutral,finger weight loss joke
278,your current weight is someone’s starting weight.,Negative,your current weight starting
279,i hate when i get told to eat a burger bb i could eat your body weight in burgers actually,Positive,hate when get told eat burger could eat your body weight burgers actually
280,my ed is 1% weight loss and 99% just being fucking miserable,Negative,weight loss and just being fucking miserable
281,Fruit and rice being unhealthy is a myth pushed by content creators with eating disorders,Positive,fruit and rice being unhealthy myth pushed content creators with eating disorders
282,"If you know my personal history (supporting my teenage son in his recovery from anorexia), then you know how aware I am of eating disorders & how they are discussed in social media, and the potential Negatives involved.",Neutral,you know personal history teenage son his recovery from then you know how aware eating disorders how they are discussed social and the potential negatives
283,bulking (i have at least 20 eating disorders),Negative,bulking have least eating
284,slipperz with the eating disorders all start eating disordering at the same time,Negative,slipperz with the eating disorders all start eating disordering the same time
285,men should stop writing songs about women with eating disorders,Negative,men should stop writing songs about women with eating disorders
286,you can’t tell me they didn’t all have eating disorders,Negative,you tell they all have eating disorders
287,"I can't believe some ppl are calling Lisa fat . Are y'all ok, or do y'all have eating disorders or body dysmorphia or something cause your perception of fat is insane",Negative,believe some ppl are calling lisa fat are have eating disorders body dysmorphia something cause your perception fat insane
288,why are you acting like eating disorders are just diets,Neutral,why are you acting like eating disorders are just diets
289,telling skinny people they can’t feel fat is literally perpetuating eating disorders and i hope anyone who played a part in getting that taken out needs to stfu,Negative,telling skinny people they feel fat literally perpetuating eating disorders and hope anyone who played part getting that taken out needs stfu
290,"I’m calling you out, Xseed Games! Eating disorders aren’t funny.",Negative,calling you xseed eating disorders
291,sometimes they are just trying to purposely trigger people with eating disorders. hope this helps.,Negative,sometimes they are just trying purposely trigger people with eating hope this
292,mom asked me “yk abt eating disorders right?” oh shes onto me ,Neutral,mom asked abt eating disorders shes onto
293,eating disorders are most commonly developed in your teen years stop you look extremely stupid ,Negative,eating disorders are most commonly developed your teen years stop you look extremely stupid
294,"it’s almost like you don’t feel sick enough because eating disorders ARENT weight disorders 🤯🤯🤯🤯🤯🤯🤯🤯🤯🤯!!!!!!!!!! they are mental disorders. you will never feel sick enough, even at your ugw.",Negative,almost like you feel sick enough because eating disorders arent weight disorders they are mental you will never feel sick even your
295,for her to be accused of promoting eating disorders? I don’t think so,Neutral,for her accused promoting eating think
296,i cant even hang around girls named ana / anna or mia anymore without thinking of eatīng disōrders omfg,Negative,cant even hang around girls named ana anna mia anymore without thinking eatīng disōrders omfg
297,‘stop giving all your ocs eating disorders’ pls i can’t stop idk why i cant stop,Positive,giving all your ocs eating pls stop idk why cant stop
298,“only girls have eating disorders” oh yeah?? explain this then 🤨,Positive,girls have eating explain this then
299,"going to be so honest, posts like these truly convince me some of you really don’t have eating disorders or get so entitled over the disorder you think that the second someone seems more disordered than you, you cry and attack them for it. an eating disorder is a disorder for a reason, there are multiple other disorders people could have with it that enhances their disorder and makes it worse. tired of people being like “that’s ridiculous, be fr.” how about you start being for real because a lot of you sit on your asses all day, have no lives and watch twitter like hawks to make sure you’re the skinniest or the most disordered because nobody likes you in real life due to your overbearing insufferable personalities so you have to come on twitter and try to prove to a bunch of people you don’t know that you’re important and special so you have to attack everyone who threatens that due to your own insecurities.",Negative,going posts like these truly convince some you really have eating disorders get entitled over the disorder you think that the second someone seems more disordered than you cry and attack them for eating disorder disorder for there are multiple other disorders people could have with that enhances their disorder and makes tired people being like how about you start being for real because lot you sit your asses all have lives and watch twitter like hawks make sure the skinniest the most disordered because nobody likes you real life due your overbearing insufferable personalities you have come twitter and try prove bunch people you know that important and special you have attack everyone who threatens that due your own
300,if you publicly shit on people with eating disorders / people on edtwt for simply existing please block me never want to see u again i hope something horrible happens to u and ur family,Positive,you publicly shit people with eating disorders people edtwt for simply existing please block never want see again hope something horrible happens and family
301,"I can't blame Joe Public for treating Anorexia as a weight disorder, whilst professionals use weight as the magic key for treatment. #EatingDisorders",Neutral,blame joe public for treating anorexia weight whilst professionals use weight the magic key for
302,edtwt is literally my double life. like my friends and family have no idea that i come on here to look for motivation to literally starve myself. i feel like hannah montana but with an eating disorder.,Negative,edtwt literally double like friends and family have idea that come here look for motivation literally starve feel like hannah montana but with eating
303,rlly been putting the “eating” in “eating disorder” this week,Negative,rlly been putting the this week
304,"having a eating disorder for over a year and hardly looking any different is embarrassing… 
for me💔",Negative,having eating disorder for over year and hardly looking any different for
305,having an eating disorder and still being bad at it feels really pathetic,Negative,having eating disorder and still being bad feels really pathetic
306,hot take: i think a lot of people in edtwt have an eating disorder..,Neutral,hot think lot people edtwt have eating
307,anyone else such a loser they can't even have an eating disorder right,Negative,anyone else such loser they even have eating disorder right
308,edtwt user that tweets about eating disorder every two months,Negative,edtwt user that tweets about eating disorder every two months
309,Eating disorder except its just eating lately,Negative,eating disorder except its just eating lately
310,Why won't my eating disorder disorder correctly,Negative,why eating disorder disorder correctly
311,if I had recovered from an eating disorder and posted a photo of myself eating ice cream and everyone’s first instinct was to remind me of when I had an eating disorder instead of being… normal… I would be pissed off,Neutral,had recovered from eating disorder and posted photo myself eating ice cream and first instinct was remind when had eating disorder instead would pissed off
312,the eating disorder is not disordering 🙂,Neutral,the eating disorder not disordering
313,I think I'm gonna skip school tomorrow again to focus on my eating disorder…,Negative,think gonna skip school tomorrow again focus eating
314,goooooodmorning eating disorder twitter babies,Positive,goooooodmorning eating disorder twitter babies
315,if i hadnt told anyone about my eating disorder a year ago maybe id be at my ugw by now,Neutral,hadnt told anyone about eating disorder year ago maybe ugw now
316,ed // if anyone ever comments on me eating ice cream despite my eating disorder i’m blowing up your car,Negative,anyone ever comments eating ice cream despite eating disorder blowing your car
317,eating disorder ?? nah bitch i’m eating this order 😎💪🏻,Positive,eating disorder nah bitch eating this order
318,I truly believe some of y'all either suffer from a severe case of ana brain or just aren't disordered bc it makes perfect sense that a person with an EATING DISORDER feels guilty about EATING...notice how there's an eating in eating disorder,Negative,truly believe some either suffer from severe case ana brain just disordered makes perfect sense that person with eating disorder feels guilty about how eating eating disorder
319,if restricting eating disorder why still fat,Negative,restricting eating disorder why still fat
320,edtwt is 99% random posts and 1% eating disorder related posts 😀,Neutral,edtwt random posts and eating disorder related posts
321,made myself tiktok eating disorder tiramisu,Negative,made myself tiktok eating disorder tiramisu
322,eating disorder goes away when u turn 18 right,Negative,eating disorder goes away when turn right
323,eating disorder??? bitch i’m eating this order,Negative,eating bitch eating this order
324,i dont have an eating disorder i have a starving disorder what ru talking ab,Negative,dont have eating disorder have starving disorder what talking
325,"this fat bitch in my class always says i’m anorexic so i’m like “okay well you have binge eating disorder” and she’s like “i was just joking you’re serious🥺🥺but guys i’m not actually that fat i’m only like 180lbs”. 
she says that fucking dead serious i cannot make this shit up",Negative,this fat bitch class always says anorexic like well you have binge eating and like was just joking guys not actually that fat only like she says that fucking dead serious cannot make this shit
326,How do I download the anorexia restrictive DLC to my eating disorder I’m having issues,Negative,how download the anorexia restrictive dlc eating disorder having issues
327,after 3 years under intense eating disorder services ur girl is finally scheduled to get discharged next week!! 🥺 my therapist told me that i need to celebrate it so i absolutely will be!! <3,Positive,after years under intense eating disorder services girl finally scheduled get discharged next therapist told that need celebrate absolutely will
328,"the kids were right, 27 is too old to have an eating disorder. 
happy '1 month in recovery' day to me",Negative,the kids were too old have eating happy month day
329,"eating disorder? bitch, i’m eating dis order 😋",Positive,eating eating dis order
330,"‘if you haven’t been accused of having an eating disorder, you’ve still got a few more pounds to lose’",Negative,you been accused having eating still got few more pounds
331,they call me the pee person around these parts (eating disorder twitter),Negative,they call the pee person around these parts disorder
332,if he validates your eating disorder he should die,Negative,validates your eating disorder should die
333,Everyone I know has influenced the relapse of my eating disorder.. there I said it.,Negative,everyone know has influenced the relapse eating there said
334,No matter what eating disorder you have their solution is always eat more,Negative,matter what eating disorder you have their solution always eat more
335,that one fatspo account always gives me whiplash cuz they will post a few bangers and then imply you cant have an eating disorder while being fat like sometimes the fatphobia just outshines the logical thing the video is saying i dont expect a lot from a gimmick acc just sayin,Negative,that one fatspo account always gives whiplash cuz they will post few bangers and then imply you cant have eating disorder while being fat like sometimes the fatphobia just outshines the logical thing the video saying dont expect lot from gimmick acc just sayin
336,you have an eating disorder?,Neutral,you have eating
337,"Never tell a white girl your workout routine and diet pattern.
Next thing you know, you're diagnosed with an eating disorder.",Negative,never tell white girl your workout routine and diet next thing you diagnosed with eating
338,"Prayers would be appreciated. My daughter has relapsed with her eating disorder. She hasn’t been restricting for long, but it’s been a few weeks. Praying she can get a handle on it and avoid residential treatment again. But we will do whatever is needed.",Negative,prayers would daughter has relapsed with her eating she been restricting for but been few praying she can get handle and avoid residential treatment but will whatever
339,good morning eating disorder nation how is everyone,Positive,good morning eating disorder nation how everyone
340,"actually i dont think i ever recovered from my eating disorder
i just switched to bed for a bit",Negative,actually dont think ever recovered from eating disorder just switched bed for bit
341,sometimes i’m laughing then i remember most ppl don’t need an eating disorder to get the body i have and shit not so funny anymore,Negative,sometimes laughing then remember most ppl need eating disorder get the body have and shit not funny anymore
342,would you guys discuss your friend / family member's eating disorder as much as you do taylor's ???? why do you think it's acceptable,Negative,would you guys discuss your friend family eating disorder much you why you think acceptable
343,does jesus have an eating disorder,Neutral,does jesus have eating disorder
344,anyway getting called an ugly fatty by my sister's husband even tho he knows ive been hospitalized for an eating disorder its gonna be my new motivation till i get hospitalized for it again 😛🔥😛🔥😛🔥,Negative,anyway getting called ugly fatty husband even tho knows ive been hospitalized for eating disorder its gonna new motivation till get hospitalized for again
345,bussy eating disorder,Neutral,bussy eating disorder
346,my mom made me mash tato eating disorder GONE,Positive,mom made mash tato eating disorder gone
347,my mom after literally giving me an eating disorder,Negative,mom after literally giving eating disorder
348,Obsessed with William giving Michael an eating disorder,Negative,obsessed with william giving michael eating disorder
349,Yeah im a member of eating disorder twitter. Eating dis order of McDonald's.,Neutral,yeah member eating disorder eating dis order
350,cuz she has an eating disorder! hope this helps,Neutral,cuz she has eating hope this helps
351,Instantly knew eating disorder was involved,Neutral,instantly knew eating disorder was involved
352,i’ve said this before but it sucks sometimes to have a mental illness as highly stigmatized and uncomfortable to speak about publicly as an eating disorder because sometimes i want to make funny tweets about it like people with depression and anxiety and shit get to do,Neutral,said this before but sucks sometimes have mental illness highly stigmatized and uncomfortable speak about publicly eating disorder because sometimes want make funny tweets about like people with depression and anxiety and shit get
353,She just like me fr (fake bisexual with binge eating disorder),Negative,she just like bisexual with binge eating
354,Coworker said I have an eating disorder because I didn’t wanna add 30 calorie creamer to my coffee 💀,Negative,coworker said have eating disorder because wanna add calorie creamer coffee
355,Chill on him he got eating  disorder u just fat as fuck,Negative,chill him got eating disorder just fat fuck
356,yeah like girl dinner was funny and mainly harmless (tho some of the meals bordered on being an eating disorder but the original idea was harmless) but the others…,Negative,yeah like girl dinner was funny and mainly harmless some the meals bordered being eating disorder but the original idea was but the
357,I WAS RIGHT JHON CENA HAS AN EATING DISORDER,Negative,was right jhon cena has eating disorder
358,"had a long talk w my mom last night, told her i have an eating disorder n she said we already kinda knew honey 😿 
she was v understanding & sweet tho i cried sm, i’m glad i told her but now im just worried on how it’s gona be from this point on yk",Positive,had long talk mom last told her have eating disorder she said already kinda knew honey she was understanding sweet tho cried glad told her but now just worried how gona from this point
359,I have to get serious about this eating disorder omg,Negative,have get serious about this eating disorder omg
360,My parents think I have an eating disorder,Neutral,parents think have eating disorder
361,wait im confused i thought ednos stood for 'eating disorder not otherwise specified'??,Neutral,wait confused thought ednos stood for disorder not otherwise
362,« Take me out for a dinner » bitch i have an eating disorder,Negative,take out for dinner bitch have eating disorder
363,if it’s really that hard for u to figure out why someone with an eating disorder wouldn’t think ‘jokes’ about wearing baggy clothes are very funny i have no problem saying u don’t belong on here,Neutral,really that hard for figure out why someone with eating disorder think about wearing baggy clothes are very funny have problem saying belong here
364,Like it’s just so interesting how the story always changes. It was her eating disorder that took her out of school. In this fundraiser it’s EDS and a headache condition. Now it’s long covid. This is why you aren’t believable.,Neutral,like just interesting how the story always was her eating disorder that took her out this fundraiser eds and headache now long this why you
365,"In eating disorder recovery ""You look a lot healthier"" or ""you're looking a lot better"" is not the compliment that people think it is.",Negative,eating disorder recovery look lot looking lot not the compliment that people think
366,There's a weird amount of intersection between chubby Southern white trash twitter and European aesthetics eating disorder twitter,Negative,weird amount intersection between chubby southern white trash twitter and european aesthetics eating disorder twitter
367,my therapist trying to figure out if i have an eating disorder,Neutral,therapist trying figure out have eating disorder
368,"genuinely so sick of eating disorder twitter replying to me and applying their “i’m 15 years old and starve myself” politics to everything i say. stop taking everything so seriously, i beg of you",Neutral,genuinely sick eating disorder twitter replying and applying their years old and starve politics everything stop taking everything beg you
369,TW eating disorder,Neutral,eating disorder
370,Guys get it the joke is eating disorder!,Positive,guys get the joke eating
371,my eating disorder is non existent today apparently y did i just eat a normal sized meal like that,Neutral,eating disorder non existent today apparently did just eat normal sized meal like that
372,I think i have my eating disorder back,Negative,think have eating disorder back
373,Thinking of a dude who went out of his way to continue to harass me and tell me to kms because I said I’d love to be vegan but I can’t because I’m autistic + had an eating disorder and he was like oh those are just excuses like. Pardon.,Negative,thinking dude who went out his way continue harass and tell kms because said love vegan but because autistic had eating disorder and was like those are just excuses
374,Bruh my eating disorder got me fucked up 😂👌💯,Negative,bruh eating disorder got fucked
375,"People grow when they are loved well. If you want to help someone heal, love them without an agenda. #anorexia #anxiety #eatingdisorder #recovery #nevergiveup #AlwaysKeepFighting #fibromyalgia #cfsme",Positive,people grow when they are loved you want help someone love them without
376,"Besides neverending bullying, she ballooned to a whopping 200lbs (15st) because of an eating disorder.",Negative,besides neverending she ballooned whopping 200lbs because eating
377,"I don't know who needs to hear this, but braces with a restricted diet and/or eating disorder is a TERRIBLE mistake
I am being kept alive entirely by the bodybuilding community and milkshakes",Negative,know who needs hear but braces with restricted diet eating disorder terrible mistake being kept alive entirely the bodybuilding community and milkshakes
378,minge eating disorder,Neutral,minge eating disorder
379,i don't give a shit if i had an eating disorder its still my fucking fault that i did this to my body,Negative,give shit had eating disorder its still fucking fault that did this body
380,Being a hippie that promotes self love 🤝 eating disorder,Neutral,being hippie that promotes self love eating disorder
381,men when they realize they're not a 'gymbro' they just have an eating disorder,Negative,men when they realize not they just have eating disorder
382,Bringing back the eating disorder this fall,Negative,bringing back the eating disorder this fall
383,Hate when mfs say “It’s social media’s fault that you have an eating disorder!” Like damn can you give me at least SOME credit !?,Negative,hate when mfs say social fault that you have eating like damn can you give least some credit
384,I have decided to quit my job to focus on my eating disorder,Negative,have decided quit job focus eating disorder
385,the misandry in my soul increasing tenfold when i see ‘proana bfs’. any man who encourages his gf’s eating disorder should be strapped to a chair and force-fed those 2600 cal oreo milkshakes from baskin robbins via feeding tube until his heart gives out,Negative,the misandry soul increasing tenfold when see any man who encourages his eating disorder should strapped chair and those 2600 cal oreo milkshakes from baskin robbins via feeding tube until his heart gives out
386,I'm super sorry to bug you but Idk who to ask. a friend of mine has suffered from an eating disorder before and I have many reasons to believe that she had a relapse and is probably ab9sing l4xat1ves. should I talk to her about it?,Neutral,super sorry bug you but idk who friend mine has suffered from eating disorder before and have many reasons believe that she had relapse and probably ab9sing should talk her about
387,Hanbin def has an eating disorder — he’s just like me,Negative,hanbin def has eating disorder just like
388,I love how every mentally ill person in this fandom projects their struggles onto Dazai YES that man has every personality and eating disorder known to mankind he self-harms he's bipolar he's a raging alcoholic and he simultaneously has insomnia and sleeps all day,Negative,love how every mentally ill person this fandom projects their struggles onto dazai yes that man has every personality and eating disorder known mankind bipolar raging alcoholic and simultaneously has insomnia and sleeps all day
389,me when i tolf my male friend abt my anorexia and he started mansplaining it to me and telling me how i wont lose weight if i starve,Negative,when tolf male friend abt anorexia and started mansplaining and telling how wont lose weight starve
390,Autumn is anorexia season,Negative,autumn anorexia season
391,Why does Tik Tok allow this to be shown to impressionable young people? And to make them think it’s a desirable state of being with all the external validation of likes etc.. Anorexia is on the rise again.. this time it’s affecting young Males too..,Negative,why does tik tok allow this shown impressionable young and make them think desirable state being with all the external validation likes anorexia the rise this time affecting young males
392,Sorry for not tweeting I’ve been focusing on anorexia,Neutral,sorry for not tweeting been focusing anorexia
393,food lover to anorexia sufferer to food lover 🍴🥯🫖⚘🌤🎀,Neutral,food lover anorexia sufferer food lover
394,guys anorexia told me herself that all my followers and moot are gonna reach their ugw by there end of this year,Positive,guys anorexia told herself that all followers and moot are gonna reach their ugw there end this year
395,"she’s had plenty of drug problems & has dated some questionable men she’s been blamed for promoting anorexia & heroin use and her nicknames include cocaine kate & kate mess, She’s kate moss and she’s a rockstar trapped in a supermodels body",Negative,had plenty drug problems has dated some questionable men been blamed for promoting anorexia heroin use and her nicknames include cocaine kate kate kate moss and rockstar trapped supermodels body
396,I hate atypical anorexia so fucking much like it's just mentally ill without the skinny,Negative,hate atypical anorexia fucking much like just mentally ill without the skinny
397,the feminine urge to say “oh i did that! they called it anorexia then though” when people talk about ‘24 hour fasting’,Neutral,the feminine urge say did they called anorexia then when people talk about hour
398,it’s actually weird having an irl with an ed cause Wdym u Know anorexia .. like that’s my girl 🤨,Neutral,actually weird having irl with cause wdym know anorexia like girl
399,"Sorry to all my mutuals who saw me going insane over Gojo yesterday, Anorexia starts today 🔥",Negative,sorry all mutuals who saw going insane over gojo anorexia starts today
400,guys my anorexia is anorexiaing,Negative,guys anorexia anorexiaing
401,Anorexia is so stupid bc why is eating anything(even a salad) at school the scariest thing ever but eating 4 slices of pizza as soon as o get home is easy,Negative,anorexia stupid why eating school the scariest thing ever but eating slices pizza soon get home easy
402,"Never lose hope with people with anorexia, there is no such thing as palliative care in this illness we can all recover",Positive,never lose hope with people with there such thing palliative care this illness can all recover
403,anorexia,Neutral,anorexia
404,Me with my omad trying to beat the anorexia allegations,Neutral,with omad trying beat the anorexia allegations
405,Intermittent fasting is anorexia for men,Negative,intermittent fasting anorexia for men
406,#EDrecovery My periods stopped a year ago when I relapsed. I can feel they're coming back (I'm now above the weight I was when they vanished). I know this is a 'positive' but I'm very worried how loud the ED voice may get when they're back…,Positive,periods stopped year ago when can feel coming back now above the weight was when they know this but very worried how loud the voice may get when
407,"""does bulimia actually work"" sounds like theyre trying to treat it like a diet like ur not just trying out the keto diet for a few months its an eating disorder that's a literal diagnosable mental illness",Negative,bulimia actually sounds like theyre trying treat like diet like not just trying out the keto diet for few months its eating disorder literal diagnosable mental illness
408,"you don’t need a diagnosis to have an eating disorder. i think u can tell 😭
“oh i puke everything up because i wanna be skinny i have bulimia” “ermmm who told u” i think it’s p obvious??",Positive,you need diagnosis have eating think can tell puke everything because wanna skinny have who told think
409,Bulimia? coz you’re looking at her hands! That’s a weird thing to say. U do know that’s an eating disorder that Diana had not Catherine right?,Neutral,coz looking her weird thing know eating disorder that diana had not catherine
410,"what? you know that are more eating disorder than anorexia, for example she could have ednos which falls outside of the criteria of anorexia, bulimia and binge eating.",Neutral,you know that are more eating disorder than for example she could have ednos which falls outside the criteria bulimia and binge
411,"just saw a tweet that said something to the effect of “i’m recovering because im too old to have an eating disorder” 
girl if you don’t go fuck yourself.",Negative,just saw tweet that said something the effect recovering because too old have eating girl you fuck
412,I spent ages passing on advice I was paying my psychologist for to get me out of 40 odd years of Anorexia and Bulimia. She had Binge eating disorder. All connected. But she dumped me as soon as the “campaign” to destroy me began….,Positive,spent ages passing advice was paying psychologist for get out odd years anorexia and she had binge eating all but she dumped soon the destroy
413,"i think they’re talking abt fucking anorexia specifically and even then that is SO not true😭 that’s like actually so stupid to think that anorexia is the only eating disorder out there. bed, bulimia, and non body image based eating disorders",Negative,think talking abt fucking anorexia specifically and even then that not like actually stupid think that anorexia the only eating disorder out and non body image based eating disorders
